VM;DATA
0;01/01/2015
0;02/01/2015
0;03/01/2015
0;04/01/2015
0;05/01/2015
0;06/01/2015
0;07/01/2015
0;08/01/2015
0;09/01/2015
0;10/01/2015
0;11/01/2015
0;12/01/2015
0;13/01/2015
0;14/01/2015
0,8;15/01/2015
12;16/01/2015
8;17/01/2015
0;18/01/2015
0;19/01/2015
0;20/01/2015
5,2;21/01/2015
2;22/01/2015
0;23/01/2015
0;24/01/2015
0;25/01/2015
0;26/01/2015
0;27/01/2015
0;28/01/2015
0;29/01/2015
7,4;30/01/2015
0;31/01/2015
0;01/02/2015
0;02/02/2015
0;03/02/2015
0;04/02/2015
10,4;05/02/2015
9,8;06/02/2015
3,6;07/02/2015
0;08/02/2015
0;09/02/2015
0;10/02/2015
0;11/02/2015
0;12/02/2015
0,4;13/02/2015
5,8;14/02/2015
4,8;15/02/2015
0;16/02/2015
0;17/02/2015
0;18/02/2015
0;19/02/2015
0;20/02/2015
2,2;21/02/2015
9,4;22/02/2015
0;23/02/2015
0,8;24/02/2015
0;25/02/2015
0;26/02/2015
0;27/02/2015
0;28/02/2015
0;01/03/2015
0,8;02/03/2015
0;03/03/2015
0;04/03/2015
0;05/03/2015
0;06/03/2015
0;07/03/2015
0;08/03/2015
0;09/03/2015
0;10/03/2015
0;11/03/2015
0;12/03/2015
0;13/03/2015
0;14/03/2015
0;15/03/2015
17,2;16/03/2015
5,8;17/03/2015
0;18/03/2015
0;19/03/2015
0;20/03/2015
0,6;21/03/2015
3,4;22/03/2015
0;23/03/2015
0;24/03/2015
14;25/03/2015
3,4;26/03/2015
0;27/03/2015
0;28/03/2015
0;29/03/2015
0;30/03/2015
0;31/03/2015
0;01/04/2015
0;02/04/2015
0;03/04/2015
0;04/04/2015
0;05/04/2015
0;06/04/2015
0;07/04/2015
0;08/04/2015
0;09/04/2015
0;10/04/2015
0;11/04/2015
0;12/04/2015
0;13/04/2015
0;14/04/2015
0;15/04/2015
0;16/04/2015
1,2;17/04/2015
11;18/04/2015
0;19/04/2015
0;20/04/2015
0;21/04/2015
0;22/04/2015
0;23/04/2015
0;24/04/2015
0;25/04/2015
0,8;26/04/2015
17,4;27/04/2015
1,6;28/04/2015
0;29/04/2015
4;30/04/2015
6,4;01/05/2015
0,6;02/05/2015
1,4;03/05/2015
0,2;04/05/2015
0;05/05/2015
0;06/05/2015
0;07/05/2015
8;08/05/2015
0,6;09/05/2015
0;10/05/2015
0;11/05/2015
0;12/05/2015
0;13/05/2015
0;14/05/2015
8,2;15/05/2015
2;16/05/2015
0;17/05/2015
0;18/05/2015
3;19/05/2015
1,4;20/05/2015
9,8;21/05/2015
0,4;22/05/2015
3,8;23/05/2015
0,2;24/05/2015
