;;gen-17;feb-17;mar-17;apr-17;mag-17;giu-17;lug-17;ago-17;set-17;ott-17;nov-17;dic-17;gen-18;feb-18;mar-18;apr-18;mag-18;giu-18;lug-18
1;00:00; 3,48 ; 2,35 ; 2,99 ; 2,40 ; 2,84 ; 3,38 ; 4,90 ; 3,33 ; 2,75 ; 3,38 ; 2,06 ; 2,75 ; 5,93 ; 3,92 ; 2,94 ; 5,74 ; 4,07 ; 8,24 ; 10,00 
1;00:06; 3,63 ; 2,79 ; 2,84 ; 2,40 ; 2,89 ; 3,38 ; 5,05 ; 3,38 ; 2,40 ; 3,48 ; 2,16 ; 2,65 ; 6,08 ; 3,97 ; 3,73 ; 5,74 ; 4,02 ; 8,19 ; 10,00 
1;00:12; 3,53 ; 3,14 ; 3,33 ; 2,45 ; 2,75 ; 3,19 ; 5,20 ; 3,48 ; 3,48 ; 3,53 ; 2,01 ; 2,89 ; 7,06 ; 4,17 ; 3,92 ; 5,54 ; 4,46 ; 8,14 ; 10,00 
1;00:18; 3,82 ; 2,75 ; 3,48 ; 1,76 ; 2,89 ; 3,28 ; 5,10 ; 3,48 ; 2,94 ; 3,63 ; 2,35 ; 2,99 ; 5,59 ; 4,51 ; 4,41 ; 5,83 ; 4,36 ; 8,24 ; 10,00 
1;00:24; 4,02 ; 3,14 ; 3,28 ; 2,21 ; 2,89 ; 3,19 ; 5,15 ; 3,48 ; 2,30 ; 3,77 ; 2,01 ; 2,99 ; 5,49 ; 4,17 ; 3,38 ; 5,78 ; 4,71 ; 8,04 ; 10,00 
1;00:30; 3,82 ; 2,70 ; 3,33 ; 2,40 ; 2,75 ; 3,24 ; 5,20 ; 3,58 ; 3,68 ; 3,58 ; 1,96 ; 2,84 ; 7,21 ; 4,56 ; 5,05 ; 5,49 ; 4,22 ; 8,28 ; 10,00 
1;00:36; 3,92 ; 2,94 ; 3,19 ; 2,40 ; 2,89 ; 3,28 ; 5,20 ; 3,58 ; 3,19 ; 3,73 ; 2,01 ; 3,09 ; 5,93 ; 4,26 ; 5,64 ; 5,59 ; 4,95 ; 8,09 ; 10,00 
1;00:42; 4,12 ; 2,79 ; 3,38 ; 2,40 ; 2,99 ; 3,38 ; 5,25 ; 3,58 ; 2,60 ; 3,58 ; 2,21 ; 3,38 ; 6,91 ; 4,17 ; 4,51 ; 5,69 ; 5,00 ; 8,24 ; 10,00 
1;00:48; 4,41 ; 2,99 ; 3,43 ; 2,79 ; 3,28 ; 3,38 ; 5,29 ; 3,63 ; 2,30 ; 3,77 ; 2,11 ; 3,33 ; 7,40 ; 4,36 ; 6,13 ; 5,54 ; 4,61 ; 8,09 ; 10,00 
1;00:54; 4,26 ; 2,79 ; 3,87 ; 1,96 ; 3,33 ; 3,43 ; 5,29 ; 3,68 ; 3,19 ; 3,73 ; 2,30 ; 3,28 ; 7,30 ; 4,36 ; 3,63 ; 5,88 ; 4,51 ; 8,14 ; 10,00 
1;01:00; 4,22 ; 3,19 ; 3,58 ; 2,35 ; 2,79 ; 3,53 ; 5,34 ; 3,77 ; 3,43 ; 3,77 ; 2,25 ; 3,53 ; 7,60 ; 4,66 ; 5,78 ; 5,78 ; 5,10 ; 8,33 ; 10,00 
1;01:06; 4,31 ; 3,58 ; 3,19 ; 2,45 ; 2,99 ; 3,63 ; 5,34 ; 3,73 ; 2,79 ; 3,68 ; 2,50 ; 3,63 ; 6,86 ; 4,56 ; 4,26 ; 5,74 ; 4,22 ; 8,24 ; 10,00 
1;01:12; 4,51 ; 3,28 ; 2,89 ; 2,70 ; 3,19 ; 3,68 ; 5,39 ; 3,87 ; 2,25 ; 3,77 ; 2,40 ; 3,58 ; 6,96 ; 4,75 ; 5,00 ; 5,78 ; 5,64 ; 8,14 ; 10,00 
1;01:18; 4,71 ; 3,04 ; 2,84 ; 2,40 ; 3,09 ; 3,63 ; 5,44 ; 3,87 ; 3,48 ; 3,87 ; 2,55 ; 3,48 ; 6,67 ; 4,75 ; 4,36 ; 5,78 ; 4,31 ; 8,09 ; 10,00 
1;01:24; 4,95 ; 3,58 ; 3,19 ; 2,99 ; 3,33 ; 3,58 ; 5,54 ; 4,07 ; 3,28 ; 3,73 ; 2,40 ; 3,38 ; 5,74 ; 4,85 ; 5,88 ; 5,88 ; 4,36 ; 8,33 ; 10,00 
1;01:30; 4,95 ; 3,77 ; 3,19 ; 2,25 ; 3,43 ; 3,58 ; 5,69 ; 4,02 ; 2,50 ; 3,82 ; 2,60 ; 3,68 ; 7,06 ; 4,80 ; 5,44 ; 5,64 ; 4,07 ; 8,14 ; 10,00 
1;01:36; 4,95 ; 3,48 ; 3,24 ; 2,35 ; 3,28 ; 3,68 ; 5,44 ; 4,07 ; 2,50 ; 3,87 ; 2,60 ; 3,58 ; 7,79 ; 4,90 ; 5,78 ; 5,59 ; 5,15 ; 8,04 ; 10,00 
1;01:42; 4,85 ; 3,87 ; 2,89 ; 2,75 ; 3,53 ; 3,63 ; 5,49 ; 4,07 ; 2,45 ; 4,17 ; 2,50 ; 3,53 ; 6,08 ; 4,80 ; 5,69 ; 5,49 ; 4,26 ; 8,24 ; 10,00 
1;01:48; 4,90 ; 3,82 ; 2,65 ; 2,25 ; 3,33 ; 3,73 ; 5,59 ; 4,22 ; 2,65 ; 4,02 ; 2,55 ; 3,68 ; 7,25 ; 4,80 ; 3,73 ; 5,44 ; 5,74 ; 8,24 ; 10,00 
1;01:54; 5,20 ; 4,17 ; 2,50 ; 2,75 ; 3,53 ; 3,63 ; 5,69 ; 4,22 ; 4,17 ; 3,92 ; 2,70 ; 3,77 ; 7,35 ; 5,10 ; 5,69 ; 5,78 ; 4,95 ; 8,33 ; 10,00 
1;02:00; 5,00 ; 4,07 ; 2,79 ; 2,50 ; 3,68 ; 3,63 ; 5,74 ; 4,17 ; 3,24 ; 4,02 ; 2,60 ; 3,87 ; 5,93 ; 5,25 ; 5,54 ; 5,78 ; 5,00 ; 8,28 ; 10,00 
1;02:06; 4,85 ; 3,68 ; 3,09 ; 2,40 ; 3,73 ; 3,77 ; 5,78 ; 4,31 ; 2,84 ; 4,02 ; 2,45 ; 3,77 ; 6,08 ; 4,95 ; 6,86 ; 5,83 ; 4,85 ; 8,24 ; 10,00 
1;02:12; 5,15 ; 3,97 ; 2,99 ; 2,84 ; 3,73 ; 3,68 ; 5,78 ; 4,31 ; 2,50 ; 4,17 ; 2,45 ; 3,77 ; 6,42 ; 5,05 ; 5,98 ; 5,74 ; 4,90 ; 8,14 ; 10,00 
1;02:18; 5,15 ; 4,22 ; 3,33 ; 2,35 ; 3,77 ; 3,92 ; 5,88 ; 4,36 ; 2,60 ; 4,12 ; 2,60 ; 3,92 ; 7,75 ; 5,34 ; 5,83 ; 5,74 ; 4,36 ; 8,28 ; 10,00 
1;02:24; 5,25 ; 4,17 ; 2,89 ; 2,79 ; 4,12 ; 3,97 ; 5,93 ; 4,36 ; 3,92 ; 4,26 ; 2,84 ; 4,07 ; 7,94 ; 5,49 ; 5,93 ; 5,88 ; 4,80 ; 8,33 ; 10,00 
1;02:30; 5,20 ; 4,51 ; 2,75 ; 2,30 ; 3,77 ; 3,92 ; 5,88 ; 4,26 ; 3,28 ; 4,17 ; 2,75 ; 4,07 ; 6,03 ; 5,29 ; 5,34 ; 5,74 ; 4,56 ; 8,33 ; 10,00 
1;02:36; 5,20 ; 4,61 ; 3,43 ; 3,19 ; 3,87 ; 4,31 ; 5,98 ; 4,31 ; 2,94 ; 4,26 ; 2,94 ; 4,02 ; 5,83 ; 5,49 ; 5,88 ; 5,74 ; 5,39 ; 8,28 ; 10,00 
1;02:42; 5,10 ; 4,75 ; 3,58 ; 2,45 ; 3,97 ; 4,07 ; 5,98 ; 4,26 ; 2,84 ; 4,31 ; 2,99 ; 4,46 ; 5,88 ; 5,54 ; 5,98 ; 5,83 ; 4,56 ; 8,24 ; 10,00 
1;02:48; 4,90 ; 4,85 ; 3,53 ; 2,55 ; 3,77 ; 4,07 ; 5,98 ; 4,36 ; 2,70 ; 4,26 ; 2,99 ; 4,26 ; 7,40 ; 5,39 ; 5,59 ; 5,88 ; 4,41 ; 8,28 ; 10,00 
1;02:54; 4,22 ; 4,90 ; 3,77 ; 2,89 ; 3,97 ; 4,07 ; 5,78 ; 4,46 ; 2,55 ; 4,36 ; 2,99 ; 4,22 ; 7,89 ; 4,95 ; 5,59 ; 5,78 ; 4,46 ; 8,24 ; 10,00 
1;03:00; 3,92 ; 4,66 ; 3,58 ; 2,45 ; 4,02 ; 4,22 ; 5,59 ; 4,36 ; 2,84 ; 4,41 ; 3,09 ; 4,31 ; 7,35 ; 5,29 ; 6,67 ; 5,78 ; 4,51 ; 8,28 ; 10,00 
1;03:06; 4,07 ; 4,75 ; 3,38 ; 2,75 ; 4,12 ; 4,12 ; 5,59 ; 4,51 ; 2,55 ; 4,36 ; 3,19 ; 4,22 ; 6,03 ; 5,78 ; 5,69 ; 5,78 ; 4,66 ; 8,33 ; 10,00 
1;03:12; 3,73 ; 4,61 ; 3,43 ; 2,40 ; 4,31 ; 4,17 ; 5,69 ; 4,36 ; 2,55 ; 4,26 ; 3,28 ; 4,46 ; 7,45 ; 5,44 ; 5,83 ; 5,83 ; 4,61 ; 8,24 ; 10,00 
1;03:18; 3,63 ; 5,15 ; 3,24 ; 3,04 ; 4,26 ; 4,17 ; 5,64 ; 4,41 ; 2,60 ; 4,36 ; 3,14 ; 4,46 ; 6,86 ; 5,83 ; 6,18 ; 5,93 ; 5,15 ; 8,24 ; 10,00 
1;03:24; 3,92 ; 5,34 ; 3,58 ; 2,55 ; 4,26 ; 4,26 ; 5,78 ; 4,61 ; 2,75 ; 4,41 ; 3,33 ; 4,51 ; 7,65 ; 5,54 ; 6,03 ; 5,93 ; 5,83 ; 8,43 ; 10,00 
1;03:30; 3,77 ; 5,15 ; 3,58 ; 2,84 ; 4,22 ; 4,22 ; 5,78 ; 4,75 ; 2,65 ; 4,26 ; 3,53 ; 4,56 ; 7,84 ; 5,78 ; 6,37 ; 5,88 ; 4,56 ; 8,33 ; 10,00 
1;03:36; 3,97 ; 5,25 ; 3,28 ; 2,60 ; 4,31 ; 4,17 ; 5,64 ; 4,71 ; 2,65 ; 4,51 ; 3,53 ; 4,51 ; 7,55 ; 5,78 ; 6,27 ; 5,93 ; 5,29 ; 8,24 ; 10,00 
1;03:42; 4,02 ; 5,20 ; 3,19 ; 2,70 ; 4,41 ; 4,31 ; 6,03 ; 4,51 ; 2,65 ; 4,56 ; 3,68 ; 4,56 ; 7,16 ; 5,74 ; 6,42 ; 5,78 ; 5,74 ; 8,33 ; 10,00 
1;03:48; 4,31 ; 5,20 ; 2,99 ; 2,30 ; 4,41 ; 4,36 ; 5,93 ; 4,51 ; 2,70 ; 4,41 ; 3,87 ; 4,56 ; 7,84 ; 5,78 ; 5,49 ; 5,74 ; 5,88 ; 8,33 ; 10,00 
1;03:54; 4,31 ; 5,25 ; 2,94 ; 3,19 ; 4,26 ; 4,41 ; 5,88 ; 4,80 ; 3,04 ; 4,56 ; 3,68 ; 4,75 ; 7,79 ; 5,69 ; 6,42 ; 5,74 ; 5,44 ; 8,28 ; 10,00 
1;04:00; 4,26 ; 5,25 ; 2,65 ; 2,21 ; 4,41 ; 4,36 ; 6,03 ; 4,66 ; 3,38 ; 4,56 ; 3,92 ; 4,75 ; 7,89 ; 5,88 ; 5,93 ; 5,83 ; 5,74 ; 8,33 ; 10,00 
1;04:06; 4,41 ; 5,39 ; 2,55 ; 2,99 ; 4,61 ; 4,46 ; 5,93 ; 4,80 ; 3,19 ; 4,71 ; 3,97 ; 4,85 ; 7,84 ; 5,93 ; 6,03 ; 5,88 ; 4,75 ; 8,38 ; 10,00 
1;04:12; 4,46 ; 5,25 ; 2,50 ; 2,79 ; 4,51 ; 4,36 ; 5,88 ; 4,85 ; 3,24 ; 4,71 ; 3,87 ; 4,90 ; 7,70 ; 6,08 ; 5,49 ; 5,78 ; 5,10 ; 8,24 ; 10,00 
1;04:18; 4,26 ; 5,54 ; 3,48 ; 2,45 ; 4,61 ; 4,51 ; 5,98 ; 5,00 ; 3,09 ; 4,95 ; 3,68 ; 4,95 ; 7,60 ; 5,83 ; 6,03 ; 5,83 ; 5,15 ; 8,19 ; 10,00 
1;04:24; 4,36 ; 5,54 ; 3,38 ; 2,84 ; 4,66 ; 4,51 ; 6,08 ; 4,95 ; 3,28 ; 4,71 ; 3,87 ; 5,00 ; 7,50 ; 6,23 ; 5,44 ; 5,93 ; 4,95 ; 8,19 ; 10,00 
1;04:30; 4,71 ; 5,44 ; 3,48 ; 2,50 ; 4,71 ; 4,56 ; 6,18 ; 4,90 ; 3,53 ; 4,66 ; 3,97 ; 5,15 ; 7,45 ; 6,03 ; 5,93 ; 5,88 ; 5,49 ; 8,28 ; 10,00 
1;04:36; 4,71 ; 5,44 ; 3,58 ; 2,75 ; 4,56 ; 4,71 ; 6,08 ; 5,00 ; 3,24 ; 4,90 ; 3,82 ; 4,85 ; 6,52 ; 6,08 ; 5,05 ; 5,93 ; 5,34 ; 8,19 ; 10,00 
1;04:42; 4,71 ; 5,29 ; 3,53 ; 2,75 ; 4,66 ; 4,71 ; 6,08 ; 5,10 ; 3,43 ; 4,80 ; 4,07 ; 4,95 ; 7,55 ; 5,93 ; 5,49 ; 5,98 ; 5,44 ; 8,24 ; 10,00 
1;04:48; 4,66 ; 5,59 ; 3,28 ; 2,50 ; 4,56 ; 4,71 ; 6,37 ; 5,10 ; 3,63 ; 4,80 ; 3,92 ; 5,15 ; 7,55 ; 6,37 ; 6,23 ; 5,93 ; 5,64 ; 8,38 ; 10,00 
1;04:54; 4,75 ; 5,74 ; 2,99 ; 2,70 ; 4,75 ; 4,66 ; 6,42 ; 5,10 ; 3,77 ; 5,00 ; 3,97 ; 5,00 ; 6,47 ; 6,37 ; 6,27 ; 5,83 ; 4,80 ; 8,33 ; 10,00 
1;05:00; 4,90 ; 5,64 ; 2,84 ; 2,21 ; 5,00 ; 4,71 ; 6,47 ; 5,15 ; 3,58 ; 4,95 ; 4,02 ; 5,25 ; 7,01 ; 6,08 ; 6,42 ; 6,03 ; 5,49 ; 8,38 ; 10,00 
1;05:06; 4,85 ; 5,44 ; 3,09 ; 2,94 ; 4,90 ; 4,66 ; 6,57 ; 5,00 ; 3,48 ; 5,05 ; 4,12 ; 5,20 ; 7,06 ; 6,23 ; 6,42 ; 5,93 ; 5,88 ; 8,24 ; 10,00 
1;05:12; 5,05 ; 5,83 ; 3,04 ; 2,70 ; 4,90 ; 4,66 ; 6,62 ; 5,15 ; 3,63 ; 5,00 ; 4,02 ; 5,10 ; 7,40 ; 6,18 ; 6,86 ; 5,88 ; 5,88 ; 8,24 ; 10,00 
1;05:18; 5,00 ; 5,88 ; 2,84 ; 2,16 ; 4,90 ; 4,61 ; 6,62 ; 5,20 ; 3,63 ; 4,90 ; 3,97 ; 5,05 ; 7,01 ; 6,18 ; 6,03 ; 5,98 ; 6,03 ; 8,43 ; 10,00 
1;05:24; 4,85 ; 5,74 ; 2,94 ; 3,09 ; 5,00 ; 4,46 ; 6,62 ; 5,25 ; 3,73 ; 5,00 ; 4,12 ; 5,29 ; 7,89 ; 6,18 ; 5,98 ; 6,03 ; 5,39 ; 8,28 ; 10,00 
1;05:30; 4,95 ; 5,83 ; 3,19 ; 2,65 ; 4,85 ; 4,66 ; 6,76 ; 5,34 ; 3,48 ; 5,05 ; 3,97 ; 5,34 ; 7,75 ; 6,13 ; 6,23 ; 5,93 ; 6,08 ; 8,19 ; 10,00 
1;05:36; 4,95 ; 5,98 ; 2,89 ; 2,25 ; 4,95 ; 4,66 ; 6,67 ; 5,29 ; 3,43 ; 5,15 ; 4,31 ; 5,39 ; 7,84 ; 6,42 ; 6,37 ; 6,03 ; 5,78 ; 8,33 ; 10,00 
1;05:42; 5,29 ; 5,78 ; 2,40 ; 2,94 ; 4,90 ; 4,66 ; 6,72 ; 5,25 ; 3,68 ; 5,05 ; 4,17 ; 5,64 ; 7,75 ; 6,18 ; 5,98 ; 6,03 ; 5,20 ; 8,48 ; 10,00 
1;05:48; 5,20 ; 5,93 ; 2,65 ; 2,65 ; 5,25 ; 4,66 ; 6,76 ; 5,20 ; 3,43 ; 5,20 ; 4,17 ; 5,44 ; 7,70 ; 6,23 ; 5,39 ; 5,98 ; 5,05 ; 8,38 ; 10,00 
1;05:54; 5,10 ; 5,93 ; 2,75 ; 2,60 ; 5,05 ; 4,75 ; 6,76 ; 5,34 ; 2,94 ; 5,15 ; 4,36 ; 5,64 ; 7,79 ; 6,27 ; 6,91 ; 5,98 ; 6,23 ; 8,33 ; 10,00 
1;06:00; 5,15 ; 5,98 ; 2,79 ; 2,11 ; 5,15 ; 4,71 ; 6,76 ; 5,34 ; 4,12 ; 5,15 ; 4,41 ; 5,59 ; 7,75 ; 6,18 ; 7,75 ; 5,93 ; 6,47 ; 8,19 ; 10,00 
1;06:06; 5,29 ; 6,03 ; 2,79 ; 2,84 ; 5,25 ; 4,75 ; 6,76 ; 5,25 ; 4,36 ; 5,25 ; 4,22 ; 5,64 ; 7,70 ; 6,42 ; 6,96 ; 5,83 ; 5,78 ; 8,43 ; 10,00 
1;06:12; 5,54 ; 5,93 ; 3,14 ; 2,65 ; 5,05 ; 4,75 ; 6,76 ; 5,25 ; 4,41 ; 5,20 ; 4,56 ; 5,69 ; 7,75 ; 6,42 ; 6,81 ; 5,93 ; 5,54 ; 8,33 ; 10,00 
1;06:18; 5,49 ; 5,93 ; 2,84 ; 2,21 ; 5,29 ; 4,75 ; 6,67 ; 5,44 ; 4,31 ; 5,25 ; 4,51 ; 5,59 ; 7,70 ; 6,23 ; 6,81 ; 5,98 ; 5,10 ; 8,38 ; 10,00 
1;06:24; 5,20 ; 5,98 ; 2,89 ; 2,99 ; 5,25 ; 4,75 ; 6,76 ; 5,25 ; 4,36 ; 5,34 ; 4,51 ; 5,83 ; 7,70 ; 6,37 ; 6,72 ; 6,03 ; 5,34 ; 8,43 ; 10,00 
1;06:30; 5,49 ; 5,88 ; 2,75 ; 2,60 ; 5,25 ; 4,80 ; 6,76 ; 5,44 ; 4,51 ; 5,15 ; 4,71 ; 5,98 ; 7,45 ; 6,32 ; 6,03 ; 5,78 ; 5,93 ; 8,48 ; 10,00 
1;06:36; 5,54 ; 6,03 ; 2,75 ; 2,25 ; 5,25 ; 4,80 ; 6,76 ; 5,44 ; 4,56 ; 5,25 ; 4,71 ; 5,93 ; 7,60 ; 6,67 ; 6,08 ; 5,98 ; 5,74 ; 8,43 ; 10,00 
1;06:42; 5,64 ; 6,13 ; 2,89 ; 3,19 ; 5,20 ; 4,85 ; 6,86 ; 5,20 ; 4,56 ; 5,49 ; 4,75 ; 5,74 ; 7,45 ; 6,47 ; 6,76 ; 6,03 ; 5,93 ; 8,28 ; 10,00 
1;06:48; 5,44 ; 6,18 ; 2,55 ; 3,14 ; 5,00 ; 4,75 ; 6,76 ; 5,34 ; 4,36 ; 5,20 ; 4,90 ; 5,98 ; 7,65 ; 6,18 ; 5,78 ; 5,78 ; 5,39 ; 8,43 ; 10,00 
1;06:54; 5,44 ; 6,18 ; 2,60 ; 2,30 ; 5,10 ; 4,71 ; 6,62 ; 5,39 ; 4,46 ; 5,29 ; 4,95 ; 5,93 ; 7,55 ; 6,23 ; 7,25 ; 5,78 ; 5,15 ; 8,33 ; 10,00 
1;07:00; 5,49 ; 6,23 ; 2,99 ; 2,79 ; 5,20 ; 4,85 ; 6,62 ; 5,49 ; 4,26 ; 5,34 ; 4,95 ; 6,03 ; 7,40 ; 6,37 ; 6,86 ; 5,74 ; 5,20 ; 8,53 ; 10,00 
1;07:06; 5,44 ; 6,32 ; 3,14 ; 3,19 ; 5,88 ; 4,95 ; 6,72 ; 5,74 ; 4,51 ; 5,83 ; 5,00 ; 6,08 ; 7,35 ; 6,52 ; 6,62 ; 5,64 ; 5,44 ; 8,68 ; 10,00 
1;07:12; 5,34 ; 6,18 ; 2,89 ; 2,65 ; 5,34 ; 5,15 ; 6,72 ; 5,59 ; 4,85 ; 5,74 ; 5,10 ; 6,08 ; 7,30 ; 6,37 ; 7,45 ; 5,59 ; 6,42 ; 8,73 ; 10,00 
1;07:18; 5,15 ; 6,18 ; 2,79 ; 2,50 ; 5,05 ; 4,80 ; 6,76 ; 5,64 ; 4,51 ; 5,69 ; 5,00 ; 6,08 ; 7,25 ; 6,52 ; 7,50 ; 5,39 ; 6,62 ; 8,53 ; 10,00 
1;07:24; 5,44 ; 5,93 ; 2,99 ; 2,89 ; 5,39 ; 4,66 ; 6,62 ; 5,59 ; 4,66 ; 5,59 ; 5,20 ; 6,03 ; 7,06 ; 6,47 ; 7,45 ; 5,49 ; 5,44 ; 8,53 ; 10,00 
1;07:30; 5,83 ; 6,08 ; 2,55 ; 2,84 ; 5,25 ; 4,56 ; 6,42 ; 5,59 ; 4,36 ; 5,49 ; 5,34 ; 6,32 ; 7,06 ; 6,47 ; 6,81 ; 5,39 ; 6,13 ; 8,48 ; 10,00 
1;07:36; 5,64 ; 6,27 ; 2,50 ; 2,40 ; 5,20 ; 4,71 ; 6,47 ; 5,39 ; 4,26 ; 5,39 ; 5,20 ; 6,32 ; 7,11 ; 6,37 ; 7,55 ; 5,44 ; 5,98 ; 8,48 ; 10,00 
1;07:42; 5,44 ; 6,42 ; 2,60 ; 2,70 ; 5,10 ; 4,61 ; 6,57 ; 5,34 ; 4,31 ; 5,39 ; 5,44 ; 5,98 ; 7,01 ; 6,57 ; 7,30 ; 5,44 ; 5,88 ; 8,48 ; 10,00 
1;07:48; 5,59 ; 6,23 ; 2,60 ; 2,25 ; 5,29 ; 4,90 ; 6,57 ; 5,44 ; 4,12 ; 5,54 ; 5,29 ; 6,03 ; 6,86 ; 6,52 ; 7,65 ; 5,25 ; 5,69 ; 8,58 ; 10,00 
1;07:54; 5,74 ; 5,88 ; 2,45 ; 2,70 ; 5,39 ; 4,61 ; 6,52 ; 5,34 ; 4,31 ; 5,54 ; 5,39 ; 6,08 ; 6,81 ; 6,37 ; 6,52 ; 5,69 ; 4,85 ; 8,58 ; 10,00 
1;08:00; 5,74 ; 6,18 ; 2,60 ; 2,50 ; 4,90 ; 4,75 ; 6,57 ; 5,25 ; 4,07 ; 5,49 ; 5,34 ; 6,03 ; 6,76 ; 6,37 ; 7,30 ; 5,15 ; 3,63 ; 8,63 ; 10,00 
1;08:06; 6,08 ; 6,08 ; 2,99 ; 2,79 ; 4,80 ; 4,71 ; 6,72 ; 5,29 ; 4,02 ; 5,29 ; 5,64 ; 6,47 ; 6,23 ; 6,91 ; 6,32 ; 5,20 ; 3,77 ; 8,53 ; 10,00 
1;08:12; 5,83 ; 5,69 ; 2,60 ; 2,79 ; 4,95 ; 4,46 ; 6,72 ; 5,15 ; 4,17 ; 5,34 ; 5,54 ; 6,57 ; 5,49 ; 6,76 ; 7,55 ; 5,25 ; 4,36 ; 8,33 ; 10,00 
1;08:18; 5,69 ; 5,74 ; 2,40 ; 2,30 ; 5,00 ; 4,41 ; 6,62 ; 5,20 ; 4,31 ; 5,54 ; 5,54 ; 6,37 ; 7,21 ; 6,62 ; 7,75 ; 5,20 ; 4,07 ; 8,19 ; 10,00 
1;08:24; 5,64 ; 5,83 ; 3,28 ; 2,70 ; 4,90 ; 4,22 ; 6,62 ; 5,10 ; 4,02 ; 5,39 ; 5,64 ; 6,37 ; 7,06 ; 6,57 ; 7,35 ; 5,29 ; 4,02 ; 8,19 ; 10,00 
1;08:30; 6,08 ; 5,59 ; 2,94 ; 2,01 ; 4,90 ; 4,17 ; 6,57 ; 5,00 ; 3,97 ; 5,29 ; 5,69 ; 6,27 ; 6,27 ; 6,32 ; 7,50 ; 5,25 ; 4,31 ; 8,04 ; 10,00 
1;08:36; 6,18 ; 5,64 ; 2,65 ; 2,55 ; 4,80 ; 3,82 ; 6,67 ; 4,80 ; 4,02 ; 5,39 ; 5,44 ; 6,27 ; 6,03 ; 6,57 ; 7,75 ; 5,20 ; 5,69 ; 8,09 ; 10,00 
1;08:42; 6,23 ; 5,64 ; 2,16 ; 2,55 ; 4,71 ; 3,73 ; 6,37 ; 4,56 ; 3,87 ; 5,44 ; 5,69 ; 6,13 ; 6,23 ; 6,32 ; 6,23 ; 5,25 ; 4,36 ; 7,99 ; 10,00 
1;08:48; 6,13 ; 5,20 ; 2,89 ; 2,55 ; 4,56 ; 3,28 ; 6,37 ; 4,36 ; 3,92 ; 5,15 ; 5,54 ; 6,13 ; 6,23 ; 6,47 ; 6,62 ; 5,34 ; 4,66 ; 7,94 ; 10,00 
1;08:54; 6,23 ; 4,85 ; 2,60 ; 1,81 ; 4,56 ; 3,09 ; 6,42 ; 4,22 ; 3,82 ; 5,20 ; 5,49 ; 6,03 ; 6,08 ; 6,42 ; 6,32 ; 5,29 ; 5,39 ; 7,99 ; 10,00 
1;09:00; 6,13 ; 4,85 ; 2,25 ; 2,01 ; 4,66 ; 2,60 ; 6,27 ; 3,92 ; 3,58 ; 5,20 ; 5,49 ; 5,93 ; 3,19 ; 6,57 ; 6,08 ; 5,44 ; 5,64 ; 7,94 ; 10,00 
1;09:06; 6,13 ; 4,75 ; 3,09 ; 1,86 ; 4,31 ; 2,40 ; 6,32 ; 3,48 ; 3,58 ; 5,15 ; 5,54 ; 5,59 ; 2,99 ; 6,27 ; 7,25 ; 5,54 ; 4,85 ; 7,99 ; 10,00 
1;09:12; 5,74 ; 4,71 ; 2,94 ; 2,01 ; 4,17 ; 2,99 ; 6,42 ; 3,43 ; 3,58 ; 5,00 ; 5,39 ; 5,59 ; 2,35 ; 6,23 ; 7,70 ; 5,69 ; 4,26 ; 7,89 ; 10,00 
1;09:18; 5,64 ; 4,56 ; 2,11 ; 2,01 ; 3,97 ; 2,99 ; 6,27 ; 3,14 ; 3,53 ; 5,10 ; 5,25 ; 5,25 ; 2,45 ; 6,03 ; 6,47 ; 5,54 ; 5,49 ; 7,89 ; 10,00 
1;09:24; 6,03 ; 4,12 ; 3,24 ; 2,01 ; 4,02 ; 2,55 ; 6,18 ; 3,09 ; 3,58 ; 4,90 ; 5,34 ; 5,25 ; 2,55 ; 5,93 ; 7,11 ; 5,74 ; 4,31 ; 7,94 ; 10,00 
1;09:30; 5,78 ; 3,63 ; 2,99 ; 2,01 ; 3,77 ; 2,45 ; 6,08 ; 3,04 ; 3,48 ; 4,90 ; 5,34 ; 4,95 ; 3,77 ; 5,93 ; 7,21 ; 5,59 ; 5,49 ; 8,09 ; 10,00 
1;09:36; 5,93 ; 3,92 ; 2,16 ; 1,91 ; 3,73 ; 3,14 ; 5,98 ; 2,89 ; 3,28 ; 4,85 ; 5,44 ; 4,71 ; 3,19 ; 5,64 ; 6,76 ; 5,69 ; 4,41 ; 7,99 ; 10,00 
1;09:42; 5,93 ; 3,68 ; 2,50 ; 1,81 ; 3,68 ; 2,50 ; 5,93 ; 2,84 ; 3,53 ; 4,75 ; 5,49 ; 4,51 ; 3,73 ; 5,88 ; 7,30 ; 5,59 ; 5,20 ; 8,09 ; 10,00 
1;09:48; 5,88 ; 3,33 ; 2,55 ; 1,57 ; 3,58 ; 2,65 ; 5,88 ; 2,79 ; 3,53 ; 4,51 ; 5,20 ; 4,41 ; 3,09 ; 5,64 ; 6,13 ; 5,44 ; 4,66 ; 8,04 ; 10,00 
1;09:54; 5,93 ; 3,38 ; 2,45 ; 1,67 ; 3,33 ; 3,19 ; 5,88 ; 2,65 ; 3,38 ; 4,61 ; 5,29 ; 4,22 ; 3,58 ; 5,44 ; 6,23 ; 5,49 ; 3,92 ; 7,99 ; 10,00 
